gene chrom strand TSS TES
PLEKHO1 1 f 150121623 150132260
GIPC2 1 f 78510645 78604133
EBNA1BP2 1 r 43629844 43638241
OR4F3 1 r 621095 622034
OPRD1 1 f 29138653 29190208
DHX9 1 f 182808438 182857117
GUK1 1 f 228332403 228336655
PTCH2 1 r 45287937 45308616
TTC24 1 f 156549518 156556562
RABGAP1L 1 f 174844655 174927327
RGS8 1 r 182615791 182642067
RGS4 1 f 163038395 163046592
LOC101927244 1 f 71172135 71252151
HIST2H4B 1 f 149804220 149804616
HIST2H4B 1 r 149832329 149832725
TSSK3 1 f 32827861 32829924
SCAMP3 1 r 155225769 155232176
HIAT1 1 f 100503788 100548929
YBX1 1 f 43148065 43168020
MIR557 1 f 168344761 168344859
BRDT 1 f 92414927 92479985
IFNLR1 1 r 24480646 24513765
ERRFI1 1 r 8071778 8086393
VAMP4 1 r 171669295 171711379
SSU72 1 r 1477052 1510262
CNIH4 1 f 224544512 224564586
MIR101-1 1 r 65524116 65524191
PRDM16 1 f 2985741 3355185
ELK4 1 r 205588395 205602000
TDRKH 1 r 151745954 151763010
ITGA10 1 f 145524890 145543868
PSRC1 1 r 109822175 109825790
OR2L5 1 f 248185249 248186188
PRAMEF16 1 f 13495253 13498259
UCHL5 1 r 192981495 193028523
TOR1AIP2 1 r 179809101 179846941
SYT6 1 r 114631913 114695062
LRRC39 1 r 100614003 100643829
MTOR 1 r 11166587 11322608
FCN3 1 r 27695600 27701315
ATF3 1 f 212781969 212794119
KDM5B 1 r 202696531 202777549
XPR1 1 f 180601145 180859415
RAB29 1 r 205737113 205744610
SERINC2 1 f 31886659 31907527
C1orf145 1 r 228391206 228401356
C1orf145 1 r 228392175 228401365
TRAPPC3 1 r 36602169 36615115
ARNT 1 r 150782180 150849244
MIR552 1 r 35135199 35135295
MIR378G 1 r 95211415 95211456
MIR4426 1 f 192685457 192685520
MIR4454 1 r 229310429 229310548
MIR4428 1 f 237634418 237634491
KTI12 1 r 52497776 52499472
CREB3L4 1 f 153940674 153946840
CREB3L4 1 f 153940314 153946840
NBPF7 1 r 120377387 120387503
LINC01354 1 r 234663636 234667525
LEMD1-AS1 1 f 205342379 205356568
GS1-279B7.1 1 r 185292978 185304171
LINC00624 1 r 146853913 146989699
B3GALT6 1 f 1167628 1170420
HIST2H2AB 1 r 149859018 149859466
FUBP1 1 r 78414086 78444889
CELA3A 1 f 22328148 22339035
HIPK1 1 f 114496498 114520491
IFI44 1 f 79115476 79129763
TRAF5 1 f 211499956 211548286
LOC100129924 1 f 43253660 43263901
LOC645166 1 f 148930404 148953054
SPATA21 1 r 16725137 16763919
DRAXIN 1 f 11751780 11780336
APITD1-CORT 1 f 10490158 10512060
ATP1B1 1 f 169075946 169101960
ANP32E 1 r 150190716 150207026
PIGK 1 r 77554666 77685132
PPP2R5A 1 f 212475147 212535205
TMEM50A 1 f 25664788 25688852
LOC100505918 1 r 168369426 168391894
FOXJ3 1 r 42642209 42800886
CADM3-AS1 1 r 159165774 159172212
SLFNL1-AS1 1 f 41480261 41509562
KLHL21 1 r 6650783 6662958
HYI 1 r 43916673 43919660
PABPC4 1 r 40026484 40042521
TNFRSF14 1 f 2487803 2497061
TMEM240 1 r 1470157 1475740
RD3 1 r 211649863 211666259
TMEM167B 1 f 109633402 109639554
UBE2J2 1 r 1189291 1209234
ZBTB41 1 r 197122813 197169672
MIR4689 1 r 5922731 5922801
MIR4677 1 f 243509477 243509557
MIR4695 1 r 19209695 19209769
DUSP23 1 f 159750758 159752333
PIK3CD-AS1 1 r 9712667 9714644
MDS2 1 f 23953823 23967056
PRPF3 1 f 150293927 150325704
MECR 1 r 29519168 29557470
DNAJC8 1 r 28526789 28559542
ORC1 1 r 52838500 52870143
NCF2 1 r 183524696 183559739
TAF1A 1 r 222731649 222763275
HSPA6 1 f 161494329 161496687
MIR1273E 1 f 240640408 240912217
KPNA6 1 f 32573643 32642168
RHOC 1 r 113243748 113250025
AMY1B 1 r 104230040 104238889
CR2 1 f 207627644 207663240
LRRC7 1 f 70225857 70589171
IGSF9 1 r 159896828 159915386
SMAP2 1 f 40839377 40888998
DISC1 1 f 231762560 232095249
KCNN3 1 r 154669941 154832338
COA6 1 f 234509182 234519795
ALDH4A1 1 r 19197923 19229293
MYOG 1 r 203052256 203055166
FAM159A 1 f 53099065 53122737
DISC1 1 f 231762560 231954990
GJC2 1 f 228337414 228347527
TP73-AS1 1 r 3652547 3663937
ZNF436-AS1 1 f 23695710 23698330
PEF1 1 r 32095462 32110218
SH3D21 1 f 36771993 36786948
INADL 1 f 62208148 62629591
APOA2 1 r 161192082 161193418
AMPD1 1 r 115215719 115238239
LCE5A 1 f 152483319 152484653
LCE3E 1 r 152538174 152539229
LCE2D 1 f 152635886 152637135
LCE2C 1 f 152647790 152649049
LCE2A 1 f 152670839 152671918
PAQR7 1 r 26187974 26197744
LCE1E 1 f 152758752 152760901
LCE1D 1 f 152769226 152770657
LCE1C 1 r 152777310 152779107
COPA 1 r 160258376 160313354
GOLPH3L 1 r 150618700 150669672
S100A10 1 r 151955385 151966714
ZMYND12 1 r 42896000 42921938
MARK1 1 f 220701524 220837799
CEP104 1 r 3728644 3773797
OCLM 1 f 186369703 186370587
FAM76A 1 f 28052489 28089423
DDAH1 1 r 85784167 86044046
CD34 1 r 208059882 208084683
ADAR 1 r 154554533 154600456
C4BPB 1 f 207262186 207273337
MGAT4EP 1 f 202789384 202796341
LCE3C 1 f 152573137 152573562
LCE3B 1 f 152586286 152586574
LCE3A 1 r 152595309 152595579
SDC3 1 r 31342312 31381480
IGFN1 1 f 201159952 201198080
DRAM2 1 r 111659953 111682838
C1orf110 1 r 162824086 162838605
ZNF678 1 f 227751219 227850164
TFAP2E 1 f 36038970 36060927
PRAMEF20 1 f 13516065 13526943
TNFRSF8 1 f 12123433 12204264
NADK 1 r 1682670 1711508
GGPS1 1 f 235491752 235507844
GBP1 1 r 89517986 89531043
RNPEP 1 f 201951765 201975275
HCN3 1 f 155247217 155259639
PDE4DIP 1 r 144890590 144995033
ACAP3 1 r 1227763 1243269
SH3BP5L 1 r 249104650 249120154
ZNF436 1 r 23685940 23694879
CERS2 1 r 150937648 150947479
NFIA 1 f 61547533 61928460
NFIA 1 f 61542945 61928460
LRRC8B 1 f 90024271 90063420
GUCA2A 1 r 42628361 42630395
PROX1 1 f 214161843 214214847
FMO6P 1 f 171106878 171130702
GAS5 1 r 173833038 173837125
RNF187 1 f 228675067 228683889
UBL4B 1 f 110655061 110656569
SWT1 1 f 185126191 185260913
KIAA0319L 1 r 35899090 36023037
FAM110D 1 f 26485510 26489119
LGR6 1 f 202172904 202288889
PRDM2 1 f 14031349 14151574
PYCR2 1 r 226107576 226112040
TAF5L 1 r 229734940 229761794
DIEXF 1 f 210001311 210030910
PPP1R8 1 f 28157251 28178183
CHML 1 r 241792166 241799232
GTF2B 1 r 89318320 89357301
PHC2 1 r 33789223 33841194
ATF6 1 f 161736033 161933860
LAMTOR5 1 r 110943876 110950546
C1orf111 1 r 162343514 162346644
C1orf189 1 r 154171561 154178841
AQP10 1 f 154293591 154297801
TNFRSF25 1 r 6524170 6526255
ADAMTS4 1 r 161159537 161168845
AGO1 1 f 36348809 36389899
FDPS 1 f 155278538 155290457
FMO1 1 f 171217609 171255117
AMY2B 1 f 104097265 104122156
KHDRBS1 1 f 32479294 32509482
OSBPL9 1 f 52195485 52254891
S100A5 1 r 153509622 153514241
CDC7 1 f 91966403 91991321
KCNC4 1 f 110753335 110776674
CNTN2 1 f 205012339 205047171
KCNA2 1 r 111145775 111148975
ZMPSTE24 1 f 40723721 40759856
LEPR 1 f 65991371 66091917
LEPR 1 f 65991371 66096095
EIF4G3 1 r 21132784 21503381
AGL 1 f 100326765 100389579
OSCP1 1 r 36893900 36916086
LINC01134 1 f 3816967 3832011
LOC728989 1 r 146490894 146514599
RBP7 1 f 10057254 10076078
THEM4 1 r 151843342 151882361
TADA1 1 r 166825748 166845654
ATP1A1-AS1 1 r 116935486 116961244
ATP1A1-AS1 1 r 116941621 116961197
SLC2A5 1 r 9097004 9129887
SLAMF1 1 r 160579608 160617101
SKI 1 f 2160133 2241652
C1orf131 1 r 231359508 231376933
CAPN2 1 f 223900118 223963720
RNF186 1 r 20140521 20141771
SNORD45C 1 f 76252756 76252834
SEPN1 1 f 26126666 26144713
NIPAL3 1 f 24742244 24799473
MOV10 1 f 113217094 113243368
PDE4DIP 1 r 144951760 144997111
MINOS1 1 f 19923470 19956315
HFE2 1 f 145413190 145417545
SLC25A24 1 r 108677343 108735431
LINC01555 1 r 85093912 85100703
LOC645166 1 f 148928312 148951595
HIST2H2BA 1 f 120906033 120914842
PDIK1L 1 f 26438267 26452039
HENMT1 1 r 109190909 109203744
PCP4L1 1 f 161228516 161255240
LRRC52 1 f 165513477 165533185
USP1 1 f 62901974 62917475
VASH2 1 f 213123861 213164927
PTPN7 1 r 202116140 202129119
RGS2 1 f 192778168 192781407
RGS1 1 f 192544856 192549159
GLIS1 1 r 53971905 54199877
DMBX1 1 f 46972667 46979886
FOXD3-AS1 1 r 63786554 63790112
FOXD3-AS1 1 r 63786554 63789346
FOXD3-AS1 1 r 63786554 63788129
LOC100996263 1 r 118139453 118148392
NBPF8 1 r 147574322 148346929
SNRPE 1 f 203830712 203840280
SOAT1 1 f 179262848 179327814
SNX7 1 f 99127235 99226056
AJAP1 1 f 4715104 4837854
VPS72 1 r 151148775 151162689
SHC1 1 r 154934773 154946959
CATSPER4 1 f 26517118 26529033
SASS6 1 r 100549100 100598651
TSACC 1 f 156308382 156316785
TSACC 1 f 156308692 156316785
FBXO44 1 f 11714431 11723384
ZNF687 1 f 151254030 151264381
EVA1B 1 r 36787630 36789249
TSEN15 1 f 184020784 184043344
ODF2L 1 r 86815776 86862025
HIST2H3C 1 r 149812258 149812765
HIST2H3C 1 f 149824180 149824687
ATAD3A 1 f 1447522 1470067
NRAS 1 r 115247084 115259515
NPPB 1 r 11917520 11918992
CHRM3 1 f 239792372 240072717
RPS6KA1 1 f 26872342 26901520
CASZ1 1 r 10696665 10856733
RRAGC 1 r 39303868 39325495
EFNA1 1 f 155100348 155107386
MYSM1 1 r 59120410 59165747
ATF3 1 f 212738675 212794119
BGLAP 1 f 156211752 156213123
SAMD13 1 f 84767288 84816481
SAMD13 1 f 84768333 84816481
HMGCS2 1 r 120290618 120311555
LRRC8D 1 f 90286572 90401989
LRRC8B 1 f 89990396 90063420
LOC100129534 1 r 2281852 2284100
MIB2 1 f 1550794 1565990
LCK 1 f 32739711 32751768
C1orf52 1 r 85715636 85725355
NEGR1 1 r 71868624 72748277
EPS15 1 r 51819934 51887793
DISC1 1 f 231762560 231859820
DISC1 1 f 231762560 231907408
DPYD 1 r 98185313 98386615
PEX14 1 f 10535002 10690815
GORAB 1 f 170501262 170522974
SHC1 1 r 154934773 154943223
UAP1 1 f 162531295 162569633
SPRR2C 1 r 153112593 153113969
SLC44A5 1 r 75672074 76076799
PPP1R12B 1 f 202317829 202407370
MIR29B2 1 r 207975787 207975868
TYW3 1 f 75198861 75232360
CDK11B 1 r 1570602 1655859
ADGRB2 1 r 32192705 32229664
ERI3 1 r 44686741 44820951
AGL 1 f 100315639 100389579
LOC730159 1 f 173604660 173606272
CD2 1 f 117297085 117311851
ZBTB8OS 1 r 33086816 33116191
VANGL1 1 f 116185249 116240845
NBPF4 1 r 108765962 108786703
DMRTB1 1 f 53925071 53933160
RGS4 1 f 163041694 163046592
MAD2L2 1 r 11734536 11741271
COL11A1 1 r 103342022 103574052
CORT 1 f 10509775 10512060
NFYC 1 f 41204507 41237276
RHOC 1 r 113243748 113249678
YTHDF2 1 f 29063451 29096287
PGM1 1 f 64059479 64125916
SNORA80E 1 r 155889699 155889833
SNORD74 1 r 173836811 173836883
PPT1 1 r 40538381 40563142
WDTC1 1 f 27561006 27635124
TTLL7 1 r 84335056 84464833
MUTYH 1 r 45794913 45805629
PDE4DIP 1 r 144951760 144995082
RPAP2 1 f 92764521 92853732
PLK3 1 f 45266035 45271667
ASTN1 1 r 176837953 177134040
MKNK1 1 r 47023078 47069966
VAMP3 1 f 7831328 7841492
SRSF11 1 f 70671364 70717701
GPR37L1 1 f 202092028 202098634
LINC00622 1 r 120140324 120141914
PI4KB 1 r 151264272 151300133
PIK3C2B 1 r 204391757 204459474
PIGR 1 r 207101866 207119811
MYCBP 1 r 39328161 39339050
CD160 1 r 145695797 145715639
LRRC8D 1 f 90287479 90401989
C4BPB 1 f 207262627 207273337
PSMA5 1 r 109941652 109969070
PPIAL4F 1 r 148201751 148202536
PPIAL4F 1 f 148806014 148806799
ATPIF1 1 f 28562601 28564616
ARID4B 1 r 235330209 235491532
RNU6-72P 1 r 186198963 186281028
RNU6-79P 1 r 201736888 201767778
RBBP4 1 f 33116958 33151812
H3F3A 1 f 226250407 226259703
KAZN 1 f 14925212 15394651
CNR2 1 r 24200459 24239817
CNN3 1 r 95362504 95392779
MEAF6 1 r 37955560 37980420
HCN3 1 f 155247217 155258498
PHLDA3 1 r 201434606 201438299
STRIP1 1 f 110577222 110597263
LENEP 1 f 154966061 154966791
KCND3 1 r 112318453 112531777
PHF13 1 f 6673755 6684093
TDRD5 1 f 179560747 179660407
MEF2D 1 r 156433512 156460391
FPGT 1 f 74663895 74674386
ARID4B 1 r 235330209 235490802
DENND1B 1 r 197473878 197744623
SDHB 1 r 17345224 17380665
AHCYL1 1 f 110527386 110566364
LYSMD1 1 r 151132223 151138424
BTBD19 1 f 45274153 45279801
S100A6 1 r 153507075 153508717
ZBTB8B 1 f 32930657 32953459
KCNAB2 1 f 6094347 6161253
VANGL2 1 f 160370363 160398468
ZFP69 1 f 40943301 40962015
ANKRD45 1 r 173577474 173639001
SDCCAG8 1 f 243419306 243663393
GOLT1A 1 r 204167287 204183220
OR2T5 1 f 248651889 248652837
OR2T4 1 f 248524882 248525929
MROH9 1 f 170904611 171033906
TCEB3 1 f 24069855 24088549
DHRS3 1 r 12627938 12677737
RHCE 1 r 25688739 25747363
MANEAL 1 f 38261159 38267278
CNIH3 1 f 224804178 224928249
ZNF362 1 f 33722173 33766320
CCDC27 1 f 3668964 3688209
PM20D1 1 r 205797149 205819276
PYHIN1 1 f 158901336 158946849
MRPS21 1 f 150266261 150281414
RBM8A 1 f 145507556 145513535
POU2F1 1 f 167190065 167396582
POU2F1 1 f 167298280 167396582
C1orf210 1 r 43747556 43751250
SNORA77 1 f 203698708 203698833
PADI1 1 f 17531620 17572501
RASAL2 1 f 178062863 178448648
FCRL2 1 r 157715522 157746922
RNU11 1 f 28975111 28975246
PQLC2 1 f 19638739 19655794
SPEN 1 f 16174358 16266950
NCMAP 1 f 24882566 24935818
S100A16 1 r 153579366 153585514
USP24 1 r 55532031 55681039
RNF220 1 f 44870959 45117396
USP21 1 f 161129253 161135516
SH2D2A 1 r 156776034 156786640
FLVCR1-AS1 1 r 213029945 213031480
SGIP1 1 f 66999251 67216822
LINC01359 1 r 65445259 65468159
RORC 1 r 151778546 151804348
NLRP3 1 f 247581350 247612406
RBBP5 1 r 205055269 205091150
GPA33 1 r 167022072 167059868
SMAP2 1 f 40840304 40888998
PODN 1 f 53527723 53551174
PODN 1 f 53527884 53551174
SMAP2 1 f 40862471 40888998
SMAP2 1 f 40859016 40888998
PRAMEF14 1 r 13668268 13673511
IGSF3 1 r 117117019 117210377
ARHGEF10L 1 f 17866329 18024370
DARS2 1 f 173793796 173827682
COLGALT2 1 r 183904965 184006904
ANXA9 1 f 150954498 150968114
SELP 1 r 169558087 169599377
TAGLN2 1 r 159887896 159895332
PIP5K1A 1 f 151171020 151222007
ARHGEF10L 1 f 17907047 18024370
ATP6V0B 1 f 44440319 44443972
ACKR1 1 f 159175048 159176290
PEAR1 1 f 156863522 156886226
LAD1 1 r 201349965 201368669
CLK2 1 r 155232658 155243320
LINC01135 1 f 59250822 59365384
MIR760 1 f 94312387 94312467
COX20 1 f 244998638 245008359
OR2C3 1 r 247693433 247697141
SCMH1 1 r 41492870 41627104
VAV3 1 r 108113781 108231126
PTAFR 1 r 28473676 28503455
PTAFR 1 r 28473676 28520447
ZNF436 1 r 23685940 23696357
IFFO2 1 r 19230773 19282826
SLC39A1 1 r 153931574 153940208
SDF4 1 r 1152287 1167447
CNST 1 f 246729638 246831884
SDE2 1 r 226170402 226187066
CCBL2 1 r 89401455 89458643
LAMB3 1 r 209788217 209825674
AMIGO1 1 r 110049445 110052336
LDLRAD2 1 f 22138757 22151714
SNAPIN 1 f 153631129 153634328
CLCN6 1 f 11866152 11903201
TXNDC12 1 r 52497768 52521843
CMPK1 1 f 47799468 47824547
LOC646268 1 r 158101833 158110430
LINC00582 1 r 231727037 231747836
SRSF10 1 r 24290836 24306953
LINC00184 1 f 234765056 234770526
LOC101929441 1 f 204110535 204112137
LOC101927139 1 r 66508182 66516401
LOC100130417 1 r 852197 855072
LINC01398 1 r 46912344 46915376
CELA2B 1 f 15802595 15817895
FCAMR 1 r 207131311 207143970
SLAMF6 1 r 160454819 160493052
OLFM3 1 r 102268122 102462790
OLFM3 1 r 102268122 102312636
SIKE1 1 r 115312104 115323308
NBL1 1 f 19970666 19984949
GNRHR2 1 r 145514420 145515899
GNRHR2 1 r 145509751 145515745
VWA1 1 f 1370902 1378262
WDR26 1 r 224572844 224622001
CTPS1 1 f 41454119 41478237
ACOT7 1 r 6324331 6420764
DDR2 1 f 162602227 162750247
TNNI3K 1 f 74701070 75010116
DESI2 1 f 244816349 244872336
AHCYL1 1 f 110546569 110566364
AHCYL1 1 f 110543548 110566364
TTC34 1 r 2572806 2706230
APH1A 1 r 150237798 150241609
ZYG11A 1 f 53308182 53360247
MOB3C 1 r 47073386 47080805
GCSAML 1 f 247712346 247740992
MIR30C1 1 f 41222955 41223044
MIR29C 1 r 207975196 207975284
MIR200A 1 f 1103242 1103332
SCNM1 1 f 151138497 151142773
MUTYH 1 r 45794913 45806142
MED8 1 r 43849578 43855483
IGSF8 1 r 160061128 160068439
FCGR1B 1 r 120926127 120935944
NFASC 1 f 204913353 204991950
CYB561D1 1 f 110036700 110043063
CYB561D1 1 f 110036657 110043063
CD52 1 f 26644410 26647014
TMCO2 1 f 40713572 40717365
MCL1 1 r 150547026 150552214
KCNQ4 1 f 41249683 41306124
CYP4Z1 1 f 47533159 47583992
ACTRT2 1 f 2938045 2939467
PPIE 1 f 40204516 40229586
EPRS 1 r 220141941 220220000
COL9A2 1 r 40766162 40782939
RPS15AP10 1 r 46111451 46112357
PTGER3 1 r 71436463 71513491
PTGER3 1 r 71318035 71513491
PTGER3 1 r 71471536 71513491
MST1P2 1 f 16972068 16976915
FCGR1C 1 f 149369293 149378303
ENO1-AS1 1 f 8938893 8939943
NEGR1-IT1 1 r 72259914 72302695
OR2M5 1 f 248308449 248309388
TMEM56-RWDD3 1 f 95583478 95710509
ADORA3 1 r 112042050 112046743
TSHB 1 f 115572444 115576930
DMAP1 1 f 44679124 44686351
SLC30A2 1 r 26364512 26372629
MIR4427 1 f 233759897 233759965
MIR4424 1 f 178646883 178646969
COL8A2 1 r 36560836 36590685
PGBD5 1 r 230457391 230561674
MTHFR 1 r 11845786 11866160
GNB1 1 r 1716723 1822556
USP33 1 r 78177337 78225564
URB2 1 f 229761980 229795946
ICMT 1 r 6281252 6296044
SOX13 1 f 204042245 204096871
NFIA 1 f 61547979 61928460
TAF1A 1 r 222731243 222763275
ENO1 1 r 8921058 8931635
EIF2D 1 r 206764973 206785904
GNG12 1 r 68167148 68299155
SNORD99 1 r 28905254 28905334
C1orf61 1 r 156374054 156399184
CSF1 1 f 110453232 110469365
CSF1 1 f 110453232 110467824
NUCKS1 1 r 205681946 205719372
STPG1 1 r 24683488 24740262
DPYD-AS1 1 f 97561478 97788511
MIR4253 1 r 23189651 23189719
PKLR 1 r 155259083 155271225
RPS7P5 1 f 240170823 240176560
NUP133 1 r 229577043 229644088
FCGR2A 1 f 161475204 161489360
RABIF 1 r 202847409 202858385
MPL 1 f 43803474 43820135
DNALI1 1 f 38022519 38032458
LINC01363 1 r 167144598 167165042
LOC101928163 1 f 23848421 23854911
LOC101929631 1 f 218216846 218232482
LINC01350 1 r 185527511 185597620
LOC101929406 1 r 30486798 30510459
LOC101929224 1 f 200638634 200663378
LOC101929099 1 r 117568103 117602112
PRR9 1 f 153190059 153191793
CAMTA1 1 f 6845383 6932107
NSUN4 1 f 46805848 46830824
MATN1 1 r 31184123 31196432
CD53 1 f 111413820 111442558
TAS1R1 1 f 6615337 6639817
SNORD21 1 f 93302845 93302940
SF3A3 1 r 38422651 38455761
UTS2 1 r 7907671 7913104
WDR3 1 f 118472371 118503049
HENMT1 1 r 109190909 109204148
TPM3 1 r 154134288 154164611
FAM231C 1 f 16999497 17000152
FAM231C 1 r 17060301 17060956
PKP1 1 f 201252579 201302121
FOXO6 1 f 41827602 41849263
CYP4B1 1 f 47264669 47285021
LOC653160 1 r 35441299 35444307
B4GALT2 1 f 44446176 44456843
ZBTB17 1 r 16268363 16302627
ZNF124 1 r 247318290 247335319
GATAD2B 1 r 153777202 153895451
PRKCZ 1 f 2036154 2116834
PRKCZ 1 f 2005085 2116834
CDC7 1 f 91966664 91991321
LELP1 1 f 153175905 153177601
S100PBP 1 f 33283118 33324480
CLCNKB 1 f 16375256 16383821
CDKN2C 1 f 51434366 51440306
CDC20 1 f 43824625 43828873
LINC00339 1 f 22351996 22357717
MIR4425 1 f 25349993 25350077
MIR4421 1 f 51525508 51525577
MIR1273F 1 f 53394345 53394444
MIR5095 1 f 53400601 53400689
MIR1273G 1 f 53405985 53406085
MIR3116-1 1 f 62544457 62544531
MIR3116-2 1 r 62544460 62544528
MIR1255B2 1 f 167967897 167967964
MIR548F3 1 f 218610974 219281452
MIR5096 1 f 235676124 235881413
FAM129A 1 r 184760158 184943718
NBPF20 1 f 144146810 146467744
ADPRHL2 1 f 36554452 36559533
C4BPB 1 f 207262583 207273337
CPTP 1 f 1260142 1264276
TROVE2 1 f 193028551 193055115
KLHDC9 1 f 161068150 161070138
PCSK9 1 f 55505148 55530526
ILF2 1 r 153634263 153643504
AKR1A1 1 f 46016454 46035723
CHD5 1 r 6161846 6240194
AMY1A 1 f 104292439 104301311
TP53BP2 1 r 223967594 224033674
CD58 1 r 117061321 117113715
ELAVL4 1 f 50513685 50669457
ELAVL4 1 f 50569581 50669457
FAM63A 1 r 150969300 150979273
FAM63A 1 r 150969300 150980854
DFFA 1 r 10520602 10532613
SMIM1 1 f 3689350 3692546
TOR1AIP1 1 f 179851176 179889212
PDE4B 1 f 66458298 66840262
THAP3 1 f 6684924 6693642
THAP3 1 f 6685209 6693642
FAM213B 1 f 2518188 2522908
CAP1 1 f 40506254 40538321
CLCA2 1 f 86889768 86922240
LPAR3 1 r 85279085 85358896
DDAH1 1 r 85784167 85930889
LMOD1 1 r 201865583 201915716
SERPINC1 1 r 173872941 173886516
SCP2 1 f 53480609 53517289
ALPL 1 f 21835857 21904905
MUTYH 1 r 45794913 45805787
UBR4 1 r 19400999 19536746
FGGY 1 f 59981300 60228402
PNRC2 1 f 24286300 24289949
LAX1 1 f 203734283 203745480
REG4 1 r 120344945 120354203
REG4 1 r 120336640 120354203
NFASC 1 f 204797781 204946274
CAPZA1 1 f 113162074 113214241
VAV3 1 r 108113781 108507545
PPIE 1 f 40204516 40222441
SLC44A5 1 r 75667815 76076799
ARPC5 1 r 183595327 183605076
PTPRU 1 f 29563027 29653325
LINC00982 1 r 2976180 2984289
RPS8 1 f 45241245 45244412
STPG1 1 r 24683488 24741587
YY1AP1 1 r 155629232 155649620
PRAMEF15 1 f 13421175 13428190
ADAMTSL4 1 f 150521844 150533412
HHAT 1 f 210502639 210849638
ATAD3A 1 f 1447909 1470067
C1orf54 1 f 150245201 150253335
SNORD103A 1 r 31421964 31422052
SNORD103A 1 r 31408535 31408623
PGD 1 f 10459048 10480568
PDE4B 1 f 66820060 66840262
PDE4B 1 f 66258192 66840262
PLA2G2E 1 r 20246799 20250110
ISG15 1 f 948846 949919
RUSC1-AS1 1 r 155290250 155293938
VWA5B1 1 f 20617411 20681387
ALG14 1 r 95448278 95538507
KIAA1324 1 f 109729170 109749403
MUL1 1 r 20825940 20834674
CD53 1 f 111415721 111442558
KLHL20 1 f 173684079 173755840
RNF115 1 f 145610989 145689005
TATDN3 1 f 212965169 212990167
PRAMEF22 1 f 13035542 13038381
PRAMEF22 1 r 13328832 13331671
MIR4753 1 r 235353348 235353431
MIR4742 1 r 224585928 224586013
PHC2 1 r 33789223 33815499
AMPD2 1 f 110163202 110174677
TMEM56 1 f 95558072 95663161
UBE2Q1 1 r 154521050 154531120
IL24 1 f 207070787 207077484
RPS27 1 f 153963238 153964631
PLA2G5 1 f 20396700 20418394
JAK1 1 r 65298905 65432187
GDAP2 1 r 118406106 118472302
FPGT-TNNI3K 1 f 74663895 74930609
LIN9 1 r 226418849 226497204
ATP1A2 1 f 160085519 160113374
PRDM2 1 f 14075875 14114574
KLHDC9 1 f 161068180 161070138
MIR1976 1 f 26881032 26881084
MIR1537 1 r 236016299 236016360
ATG4C 1 f 63249776 63330941
PPP1R15B 1 r 204372491 204380945
REN 1 r 204123943 204135465
RIMKLA 1 f 42846467 42889900
EPHA10 1 r 38225944 38230824
NBPF15 1 f 148560846 148596267
ARHGEF11 1 r 156904631 157015162
RSRP1 1 r 25568739 25573985
KLHL17 1 f 895966 901099
TINAGL1 1 f 32043745 32053287
TINAGL1 1 f 32042085 32053287
HPCA 1 f 33352097 33360247
FOXD2 1 f 47901688 47906363
FCER1A 1 f 159259503 159278014
CITED4 1 r 41326727 41328018
FAAH 1 f 46859938 46879520
ESRRG 1 r 216676587 216896814
HHAT 1 f 210502249 210849638
CENPL 1 r 173768687 173793777
DAP3 1 f 155658881 155708800
FAAP20 1 r 2120987 2126214
TMEM61 1 f 55446336 55457966
TMEM183A 1 f 202976533 202993197
MIR6127 1 r 22959750 22959859
MASP2 1 r 11104854 11107296
GABPB2 1 f 151043079 151091007
LINC00628 1 r 204337557 204338847
TXLNA 1 f 32645344 32663886
SLC41A1 1 r 205758220 205782324
KRTCAP2 1 r 155141883 155145804
RFX5 1 r 151313115 151319769
NHLH2 1 r 116378998 116383747
NHLH1 1 f 160336860 160342638
NIT1 1 f 161087861 161090984
TTF2 1 f 117602948 117645491
C1orf101 1 f 244624672 244803662
HTR6 1 f 19991779 20007459
ABCD3 1 f 94883932 94944260
SELL 1 r 169659805 169677997
SLC2A1-AS1 1 f 43424719 43449029
KLHL12 1 r 202860223 202896400
MIR181A1HG 1 r 198777131 198906558
BMP8A 1 f 39957317 39995541
ZBED6 1 f 203766650 203769590
BCL2L15 1 r 114419435 114430169
MRPL37 1 f 54665839 54684056
TMEM69 1 f 46153846 46160108
FLAD1 1 f 154955769 154961488
TROVE2 1 f 193029003 193055115
ABCB10 1 r 229652328 229694442
GBA 1 r 155204238 155211066
CENPL 1 r 173768687 173793270
AMY2A 1 f 104159953 104168402
GSTM5 1 f 110254863 110260890
GSTM4 1 f 110198697 110204331
GSTM3 1 r 110276553 110283660
ZMYM6NB 1 r 35447126 35450948
FGR 1 r 27938800 27961727
PRKCZ 1 f 1981908 2116834
ACTA1 1 r 229566992 229569843
IRF6 1 r 209958967 209979520
C1orf116 1 r 207191865 207206101
TP73 1 f 3607235 3652765
B3GALNT2 1 r 235610504 235667781
TAL1 1 r 47681961 47697387
FAM72C 1 f 206138439 206155074
FAM72C 1 r 143896524 143913160
BECN2 1 f 242121068 242122364
TRIM62 1 r 33611002 33647671
ESPNP 1 r 17017712 17046652
PRDX1 1 r 45976706 45987610
GJA5 1 r 147228331 147232714
AKT3 1 r 243651534 244006584
ENSA 1 r 150594598 150601609
PI4KB 1 r 151264272 151300191
TRIM46 1 f 155146262 155157447
